City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,swift current,50.2834,-107.8014,-11.55,85,100,4.12,CA,1698325983
336,touros,-5.1989,-35.4608,29.21,61,38,5.76,BR,1698325984
337,mili,6.0815,171.735,28.44,77,61,5.35,MH,1698325984
338,fray luis beltran,-39.3167,-65.7667,24.29,40,0,9.49,AR,1698325984
339,uzhur,55.3036,89.8339,8.59,56,100,7.53,RU,1698325689
340,holualoa,19.6228,-155.9522,22.7,74,0,3.58,US,1698325984
341,ugbokpo,7.6565,7.8664,33.46,47,92,0.51,NG,1698325984
342,paita,-5.0892,-81.1144,20.38,84,98,5.24,PE,1698325978
343,luderitz,-26.6481,15.1594,21.19,60,8,4.79,NA,1698325985
344,nageswari,25.9688,89.693,25.25,72,0,2.28,BD,1698325985
345,yuzhno-kurilsk,44.0306,145.8556,11.32,87,2,2.46,RU,1698325985
346,colonia,50.9333,6.95,13.79,77,20,1.54,DE,1698325742
347,bodo,67.28,14.405,3.02,92,75,6.17,NO,1698325985
348,saquarema,-22.92,-42.5103,21.02,82,98,3.42,BR,1698325877
349,enewetak,11.3474,162.3373,28.76,79,70,6.11,MH,1698325986
350,olinda,-8.0089,-34.8553,29.85,58,40,7.2,BR,1698325987
351,ateli mandi,28.1,76.2833,26.81,21,0,2.6,IN,1698325987
352,el golaa,33.4849,9.0068,28.84,29,55,5.73,TN,1698325987
353,vilhena,-12.7406,-60.1458,31.45,45,25,2.12,BR,1698325988
354,cumming,34.2073,-84.1402,17.95,94,6,1.96,US,1698325988
355,auki,-8.7676,160.7034,25.78,81,92,1.26,SB,1698325988
356,kavaratti,10.5669,72.642,28.77,70,45,3.72,IN,1698325751
357,sao vicente,-23.9631,-46.3919,25.15,62,100,0.89,BR,1698325988
358,yashan,22.1975,109.9419,24.25,82,13,1.02,CN,1698325988
359,caleta de carquin,-11.0925,-77.6267,19.46,82,77,2.71,PE,1698325989
360,launceston,-41.45,147.1667,6.86,70,5,4.12,AU,1698325848
361,callao,-12.0667,-77.15,19.84,82,100,1.03,PE,1698325612
362,mo i rana,66.3128,14.1428,4.26,65,0,3.09,NO,1698325989
363,sisimiut,66.9395,-53.6735,-0.92,87,91,8.51,GL,1698325989
